store_domain,product_id,product_name,product_type,vendor,variant_id,variant_title,size,option1,option2,option3,sku,price,available,stock_quantity_left,product_url
https://musclemind.com,10014925816057,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48283263566073,Brown / XL,XL,Brown,XL,,8906189274992,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt
https://musclemind.com,10014925816057,Core Training Ultralight T-shirt,T-shirt,Musclemind activeleisure,48326273171705,Brown / XXL,XXL,Brown,XXL,,8906189275005,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/core-training-ultralight-t-shirt
https://musclemind.com,10014906482937,Essential Performance T-shirt,T-shirt,Musclemind activeleisure,48283080229113,Off White/Black / S,S,Off White/Black,S,,8906189275463,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/essential-performance-t-shirt-1
https://musclemind.com,10014906482937,Essential Performance T-shirt,T-shirt,Musclemind activeleisure,48283164901625,Off White/Black / M,M,Off White/Black,M,,8906189275470,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/essential-performance-t-shirt-1
https://musclemind.com,10014906482937,Essential Performance T-shirt,T-shirt,Musclemind activeleisure,48283164934393,Off White/Black / L,L,Off White/Black,L,,8906189275487,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/essential-performance-t-shirt-1
https://musclemind.com,10014906482937,Essential Performance T-shirt,T-shirt,Musclemind activeleisure,48283164967161,Off White/Black / XL,XL,Off White/Black,XL,,8906189275494,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/essential-performance-t-shirt-1
https://musclemind.com,10014906482937,Essential Performance T-shirt,T-shirt,Musclemind activeleisure,48326276743417,Off White/Black / XXL,XXL,Off White/Black,XXL,,8906189275500,1799.00,False,0,https://musclemind.com/products/essential-performance-t-shirt-1
https://musclemind.com,10014884135161,Essential Performance T-shirt,T-shirt,Musclemind activeleisure,48282911015161,Beige / S,S,Beige,S,,8906189275517,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/essential-performance-t-shirt
https://musclemind.com,10014884135161,Essential Performance T-shirt,T-shirt,Musclemind activeleisure,48282969243897,Beige / M,M,Beige,M,,8906189275524,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/essential-performance-t-shirt
https://musclemind.com,10014884135161,Essential Performance T-shirt,T-shirt,Musclemind activeleisure,48282969276665,Beige / L,L,Beige,L,,8906189275531,1799.00,True,Hidden/Unexposed,https://musclemind.com/products/essential-performance-t-shirt
